label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,nega-Yeast-12C14N-a,nega-Yeast-12C14N-b,nega-Yeast-12C14N-c
,0,8847,2,253.0355,2.904261,0.7900434,,,,,0,0,253.0355,9253.634,8013.488,5838.137
,0,8848,2,399.1297,4.007783,0.8255662,,,,,0,0,399.1297,26063.53,17362.85,25183.42
,0,8849,2,399.1273,12.75772,0.6360083,,,,,0,0,399.1273,22993.72,18796.28,19334.89
,0,8850,3,289.1847,2.0421,0.8473046,,,,,0,0,289.1847,34615.87,27327.89,28714.73
,0,8851,2,377.2182,2.742995,0.7066005,,,,,0,0,377.2182,71265.82,91338.88,65992.15
,0,8852,2,718.0817,1.832056,0.8406149,,,,,0,0,718.0817,47573.7,35165.38,27598.09
,0,8853,3,201.0405,12.73792,0.6813732,,,,,0,0,201.0405,82939.04,66816.69,50585.64
,0,8854,2,201.0405,12.23825,0.5523816,,,,,0,0,201.0405,37126.56,33583.77,40996.36
,0,8855,2,158.9117,2.512717,0.7706424,,,,,0,0,158.9117,59800.51,20208.44,16986.18
,0,8856,2,158.9117,1.576882,0.80484,,,,,0,0,158.9117,6472.845,4473.652,6224.316
,0,8857,3,269.0068,7.56085,0.8489284,,,,,0,0,269.0068,52904.99,45713.92,56161.78
,0,8858,2,349.2057,3.900284,0.8147784,,,,,0,0,349.2057,20198.69,51241.37,48577.03
,0,8859,2,669.061,1.850894,0.8333117,,,,,0,0,669.061,20199.88,25579.11,18599.25
,0,8860,3,582.2039,2.711083,0.8501142,,,,,0,0,582.2039,27759.89,32650.59,38249.08
,0,8861,2,615.4417,3.820828,0.8435973,,,,,0,0,615.4417,86649.01,94976.19,111488.2
,0,8862,2,337.1342,6.879406,0.8111652,,,,,0,0,337.1342,18989.92,17187.35,15575.39
,0,8863,2,337.1336,2.023206,0.746905,,,,,0,0,337.1336,30757.28,29288.53,46250.56
,0,8864,3,172.0017,13.28012,0.8447545,,,,,0,0,172.0017,47164.94,23158.5,11805.85
,0,8865,2,73.99606,11.5817,0.8359315,,,,,0,0,73.99606,48613.39,34335.91,21376.21
,0,8866,2,263.0574,2.042117,0.8349666,,,,,0,0,263.0574,54468.65,51193.81,57523.5
